isPruned,no_layers,no_nodes,no_epochs,no_batches,pruned_percentile,train_accuracy,test_accuracy
0,4,500-500-500-10,10,300,0.0,0.9666000008583069,0.9624000191688538
1,4,500-500-500-10,10,300,1.0,0.9666000008583069,0.9624000191688538
0,4,500-500-500-10,10,300,0.0,0.9657166600227356,0.961899995803833
1,4,500-500-500-10,10,300,2.0,0.9657166600227356,0.961899995803833
0,4,500-500-500-10,10,300,0.0,0.9664333462715149,0.9641000032424927
1,4,500-500-500-10,10,300,3.0,0.9664333462715149,0.9641000032424927
0,4,500-500-500-10,10,300,0.0,0.9679499864578247,0.9646999835968018
1,4,500-500-500-10,10,300,4.0,0.9679499864578247,0.9646999835968018
0,4,500-500-500-10,10,300,0.0,0.9666000008583069,0.9639999866485596
1,4,500-500-500-10,10,300,5.0,0.9666000008583069,0.9639999866485596
0,4,500-500-500-10,10,300,0.0,0.9666500091552734,0.9631999731063843
1,4,500-500-500-10,10,300,6.0,0.9666500091552734,0.9631999731063843
0,4,500-500-500-10,10,300,0.0,0.9663500189781189,0.9621000289916992
1,4,500-500-500-10,10,300,7.0,0.9663500189781189,0.9621000289916992
0,4,500-500-500-10,10,300,0.0,0.9672499895095825,0.9621000289916992
1,4,500-500-500-10,10,300,8.0,0.9672499895095825,0.9621000289916992
0,4,500-500-500-10,10,300,0.0,0.9679666757583618,0.9635999798774719
1,4,500-500-500-10,10,300,9.0,0.9679666757583618,0.9635999798774719
0,4,500-500-500-10,10,300,0.0,0.9666333198547363,0.963699996471405
1,4,500-500-500-10,10,300,10.0,0.9666333198547363,0.963699996471405
0,4,500-500-500-10,10,300,0.0,0.9677000045776367,0.9639999866485596
1,4,500-500-500-10,10,300,11.0,0.9677166938781738,0.9639999866485596
0,4,500-500-500-10,10,300,0.0,0.9652666449546814,0.9606999754905701
1,4,500-500-500-10,10,300,12.0,0.9652666449546814,0.9606000185012817
0,4,500-500-500-10,10,300,0.0,0.9659833312034607,0.9611999988555908
1,4,500-500-500-10,10,300,13.0,0.9660000205039978,0.9613000154495239
0,4,500-500-500-10,10,300,0.0,0.9640666842460632,0.9613999724388123
1,4,500-500-500-10,10,300,14.0,0.9641000032424927,0.9613999724388123
0,4,500-500-500-10,10,300,0.0,0.9610000252723694,0.9556999802589417
1,4,500-500-500-10,10,300,15.0,0.9610000252723694,0.9556999802589417
0,4,500-500-500-10,10,300,0.0,0.9666333198547363,0.9617999792098999
1,4,500-500-500-10,10,300,16.0,0.9666000008583069,0.961899995803833
0,4,500-500-500-10,10,300,0.0,0.9650166630744934,0.9610999822616577
1,4,500-500-500-10,10,300,17.0,0.9650499820709229,0.9610999822616577
0,4,500-500-500-10,10,300,0.0,0.9639833569526672,0.9607999920845032
1,4,500-500-500-10,10,300,18.0,0.9639833569526672,0.9606999754905701
0,4,500-500-500-10,10,300,0.0,0.9658666849136353,0.9627000093460083
1,4,500-500-500-10,10,300,19.0,0.9658499956130981,0.9627000093460083
0,4,500-500-500-10,10,300,0.0,0.9662333130836487,0.9613000154495239
1,4,500-500-500-10,10,300,20.0,0.9663166403770447,0.9617999792098999
